RaceClass,RaceIDNumber,TrackName,TrackID,CupName,RacePosition,PlayerName,FixPlayerName,RacePoints,OldTotalScore,NewTotalScore
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,5,Mike,Mike,8,91,99
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,6,Brian,Brian,7,71,78
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,7,Thijmen,Thijmen,6,49,55
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,8,bokkie,bokkie,5,53,58
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,9,Gianni,Gianni,4,87,91
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,10,Erik,Erik,3,85,88
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,11,Erwin,Erwin,2,52,54
Divisie_1,12,Wii DK's Snowboard Cross,75,Fruit Cup,12,Christiaan,Christiaan,1,47,48
Divisie_1,13,Tour Athens Dash,81,Feather Cup,1,Mike,Mike,15,99,114
Divisie_1,13,Tour Athens Dash,81,Feather Cup,2,Gianni,Gianni,12,91,103
Divisie_1,13,Tour Athens Dash,81,Feather Cup,3,Brian,Brian,10,78,88
Divisie_1,13,Tour Athens Dash,81,Feather Cup,4,Pieter,Pieter,9,99,108
Divisie_1,13,Tour Athens Dash,81,Feather Cup,5,Erwin,Erwin,8,54,62
Divisie_1,13,Tour Athens Dash,81,Feather Cup,6,Blaasie,Blaasie,7,130,137
Divisie_1,13,Tour Athens Dash,81,Feather Cup,7,Erik,Erik,6,88,94
Divisie_1,13,Tour Athens Dash,81,Feather Cup,8,Thijmen,Thijmen,5,55,60
Divisie_1,13,Tour Athens Dash,81,Feather Cup,9,Menno,Menno,4,84,88
Divisie_1,13,Tour Athens Dash,81,Feather Cup,10,Bas,Bas,3,100,103
Divisie_1,13,Tour Athens Dash,81,Feather Cup,11,bokkie,bokkie,2,58,60
Divisie_1,13,Tour Athens Dash,81,Feather Cup,12,Christiaan,Christiaan,1,48,49
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,1,Mike,Mike,15,114,129
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,2,Gianni,Gianni,12,103,115
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,3,Pieter,Pieter,10,108,118
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,4,Menno,Menno,9,88,97
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,5,Erik,Erik,8,94,102
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,6,Blaasie,Blaasie,7,137,144
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,7,Erwin,Erwin,6,62,68
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,8,Bas,Bas,5,103,108
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,9,Thijmen,Thijmen,4,60,64
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,10,Brian,Brian,3,88,91
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,11,Christiaan,Christiaan,2,49,51
Divisie_1,14,Sweet Sweet Canyon,3,Mushroom Cup,12,bokkie,bokkie,1,60,61
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,1,Erik,Erik,15,102,117
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,2,Blaasie,Blaasie,12,144,156
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,3,Gianni,Gianni,10,115,125
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,4,Bas,Bas,9,108,117
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,5,Christiaan,Christiaan,8,51,59
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,6,Erwin,Erwin,7,68,75
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,7,Thijmen,Thijmen,6,64,70
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,8,Pieter,Pieter,5,118,123
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,9,Menno,Menno,4,97,101
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,10,Mike,Mike,3,129,132
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,11,bokkie,bokkie,2,61,63
Divisie_1,15,Mario Kart Stadium,1,Mushroom Cup,12,Brian,Brian,1,91,92
Divisie_1,16,Yoshi's Island,76,Fruit Cup,1,Mike,Mike,15,132,147
Divisie_1,16,Yoshi's Island,76,Fruit Cup,2,Erik,Erik,12,117,129
Divisie_1,16,Yoshi's Island,76,Fruit Cup,3,Christiaan,Christiaan,10,59,69
Divisie_1,16,Yoshi's Island,76,Fruit Cup,4,Thijmen,Thijmen,9,70,79
Divisie_1,16,Yoshi's Island,76,Fruit Cup,5,Bas,Bas,8,117,125
Divisie_1,16,Yoshi's Island,76,Fruit Cup,6,bokkie,bokkie,7,63,70
Divisie_1,16,Yoshi's Island,76,Fruit Cup,7,Menno,Menno,6,101,107
Divisie_1,16,Yoshi's Island,76,Fruit Cup,8,Brian,Brian,5,92,97
Divisie_1,16,Yoshi's Island,76,Fruit Cup,9,Blaasie,Blaasie,4,156,160
Divisie_1,16,Yoshi's Island,76,Fruit Cup,10,Gianni,Gianni,3,125,128
Divisie_1,16,Yoshi's Island,76,Fruit Cup,11,Pieter,Pieter,2,123,125
Divisie_1,16,Yoshi's Island,76,Fruit Cup,12,Erwin,Erwin,1,75,76
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,1,bokkie,bokkie,15,70,85
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,2,Erik,Erik,12,129,141
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,3,Thijmen,Thijmen,10,79,89
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,4,Menno,Menno,9,107,116
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,5,Mike,Mike,8,147,155
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,6,Bas,Bas,7,125,132
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,7,Blaasie,Blaasie,6,160,166
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,8,Erwin,Erwin,5,76,81
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,9,Gianni,Gianni,4,128,132
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,10,Brian,Brian,3,97,100
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,11,Pieter,Pieter,2,125,127
Divisie_1,17,GCN Sherbet Land,34,Leaf Cup,12,Christiaan,Christiaan,1,69,70
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,1,Pieter,Pieter,15,127,142
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,2,Bas,Bas,12,132,144
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,3,Gianni,Gianni,10,132,142
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,4,Mike,Mike,9,155,164
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,5,Erik,Erik,8,141,149
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,6,Blaasie,Blaasie,7,166,173
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,7,Erwin,Erwin,6,81,87
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,8,Menno,Menno,5,116,121
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,9,Thijmen,Thijmen,4,89,93
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,10,bokkie,bokkie,3,85,88
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,11,Brian,Brian,2,100,102
Divisie_1,18,DS Cheep Cheep Beach,27,Shell Cup,12,Christiaan,Christiaan,1,70,71
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,1,Blaasie,Blaasie,15,173,188
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,2,Bas,Bas,12,144,156
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,3,Menno,Menno,10,121,131
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,4,Erik,Erik,9,149,158
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,5,Brian,Brian,8,102,110
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,6,bokkie,bokkie,7,88,95
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,7,Gianni,Gianni,6,142,148
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,8,Pieter,Pieter,5,142,147
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,9,Mike,Mike,4,164,168
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,10,Erwin,Erwin,3,87,90
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,11,Thijmen,Thijmen,2,93,95
Divisie_1,19,Piranha Plant Cove,92,Acorn Cup,12,Christiaan,Christiaan,1,71,72
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,1,Gianni,Gianni,15,148,163
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,2,Erik,Erik,12,158,170
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,3,Blaasie,Blaasie,10,188,198
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,4,Mike,Mike,9,168,177
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,5,Thijmen,Thijmen,8,95,103
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,6,bokkie,bokkie,7,95,102
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,7,Erwin,Erwin,6,90,96
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,8,Menno,Menno,5,131,136
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,9,Bas,Bas,4,156,160
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,10,Brian,Brian,3,110,113
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,11,Pieter,Pieter,2,147,149
Divisie_1,20,N64 Toad's Turnpike,28,Shell Cup,12,Christiaan,Christiaan,1,72,73
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,1,Brian,Brian,15,113,128
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,2,Blaasie,Blaasie,12,198,210
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,3,Thijmen,Thijmen,10,103,113
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,4,Mike,Mike,9,177,186
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,5,Gianni,Gianni,8,163,171
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,6,Pieter,Pieter,7,149,156
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,7,Erwin,Erwin,6,96,102
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,8,Erik,Erik,5,170,175
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,9,Menna,Menno,4,136,140
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,10,Christiaan,Christiaan,3,73,76
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,11,bokkie,bokkie,2,102,104
Divisie_1,21,SNES Rainbow Road,42,Triforce Cup,12,Bas,Bas,1,160,161
Divisie_1,22,Bowser's Castle,15,Special Cup,1,Blaasie,Blaasie,15,210,225
Divisie_1,22,Bowser's Castle,15,Special Cup,2,Mike,Mike,12,186,198
